phrase,freq,f_len,max_subgram_freq,partial_order,min_support,mutual_confidence,f_avg_wordlength,f_pos_nn,f_pos_prop,f_pos_verb,f_pos_adj,f_pos_deter,f_pos_empty,f_pos_other,f_completeness,f_postagUniqueness,is_know_phrase
nanoelectronics missile defense,1,3,4,0,0.07,-1,9.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
nat,1,1,0,0,0.07,-1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
nation,1,1,0,0,0.07,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
nation state,13,2,0,0,0.93,-1,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
nation state control capability,1,4,13,0,0.07,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
national challenge,2,2,0,0,0.14,-1,8.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
national defense .  o nr,13,6,0,0,-1,-1,3.17,0.5,0.0,0.0,0.167,0.0,0.333,0.0,0,0,2
national defense . on,4,4,0,0,0.29,-1,4.5,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0,0,2
national objective,2,2,0,0,0.14,-1,8.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
national security,14,2,0,0,1.0,-1,8.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
national academy,3,2,0,0,0.21,-1,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
national defense strategy,143,3,0,0,10.21,-1,7.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
national defense strategy (nd,2,4,143,0,0.01,-1,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
national defense strategy navy,35,4,143,0,0.24,-1,6.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
national defense strategy navy future naval,1,6,143,0,0.01,-1,6.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
national defense strategy navy naval research,9,6,747,0,0.06,-1,6.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
national defense strategy navy naval research naval research enterprise,2,9,747,0,0.06,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
national defense strategy navy naval research naval research enterprise nre,1,10,747,0,0.11,-1,6.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
national defense strategy nd,1,4,143,0,0.01,-1,6.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
national defense strategy providing option,13,5,143,0,0.09,-1,7.6,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0,0,2
national defense strategy providing option policy constrained scenario,1,8,143,0,0.01,-1,7.88,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0,0,2
national defense strategy research priority,16,5,143,0,0.11,-1,7.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
national defense strategy research priority naval research,9,7,747,0,0.06,-1,7.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
national defense strategy research priority naval research naval research enterprise,9,10,747,0,0.56,-1,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
national defense strategy research priority naval research naval research enterprise naval r,1,12,747,0,0.11,-1,6.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
national naval responsibility (nn,1,4,0,0,0.07,-1,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
national oceanographic partnership program,1,4,0,0,0.07,-1,9.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
national oceanographic partnership program (no pp,1,6,1,0,1.0,-1,7.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
national science foundation,2,3,0,0,0.14,-1,8.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
nato,1,1,0,0,0.07,-1,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
natural environment,2,2,0,0,0.14,-1,9.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
nature,27,1,0,0,1.93,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
nav,1,1,0,0,0.07,-1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
naval,208,1,0,0,14.86,-1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
naval application,5,2,0,0,0.02,-1,8.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,2
naval asset,2,2,0,0,0.01,-1,5.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
naval aviation aircraft platform,3,4,4,0,0.01,-1,7.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2
naval basic,17,2,0,0,0.08,-1,5.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,2
naval communication,1,2,0,0,0.0,-1,9.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
naval defense community,1,3,3,0,0.0,-1,7.0,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
naval durip,1,2,0,0,0.0,-1,5.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,1
naval engineering,1,2,0,0,0.0,-1,8.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
naval enterprise,2,2,0,0,0.01,-1,7.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
naval ew,1,2,0,0,0.0,-1,3.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
naval facility,1,2,0,0,0.0,-1,6.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,2
naval force,3,2,0,0,0.01,-1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
naval inp investment represent game,1,5,22,0,0.0,-1,6.2,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0,0,2
naval installation,1,2,0,0,0.0,-1,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
naval investment,2,2,0,0,0.01,-1,7.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,2
naval laboratory,2,2,0,0,0.01,-1,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2
naval maritime force,1,3,0,0,0.0,-1,6.0,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
naval mine,2,2,0,0,0.01,-1,4.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
naval mission,2,2,0,0,0.01,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
naval noise-induced hearing loss (ni hl,1,6,0,0,0.0,-1,5.67,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
naval personnel,1,2,0,0,0.0,-1,7.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
naval platform,17,2,0,0,0.08,-1,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
naval power,9,2,0,0,0.04,-1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
naval relevant s&t,1,3,0,0,0.0,-1,5.33,0.333,0.0,0.0,0.667,0.0,0.0,0.0,0,0,1
naval s&t budget,18,3,1,0,0.09,-1,4.67,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
naval science,90,2,0,0,0.43,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
naval special warfare,14,3,0,0,0.07,-1,6.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
naval special warfare fy,1,4,14,0,0.0,-1,5.25,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0,0,2
naval supplier,2,2,0,0,0.01,-1,6.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
naval surface combatant,2,3,1,0,0.01,-1,7.0,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
naval surface fire support,1,4,6,0,0.0,-1,5.75,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0,0,4
naval surface fire support . em rg,1,7,6,0,1.0,-1,4.0,0.714,0.0,0.0,0.143,0.0,0.143,0.0,0,0,2
naval warfare experimentation description,1,4,67,0,0.0,-1,9.5,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0,0,2
naval warfighter,1,2,0,0,0.0,-1,7.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
naval service,2,2,0,0,0.01,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
naval air vehicle concept,6,4,4,0,0.03,-1,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval air vehicle concept naval air vehicle technology,1,8,6,0,0.17,-1,5.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval air vehicle technology,1,4,4,0,0.0,-1,6.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval cybersecurity,2,2,0,0,0.01,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval d,1,2,0,0,0.0,-1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
naval d framework,41,3,45,0,0.2,-1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
naval d framework advanced technology development,2,6,67,0,0.01,0.022,7.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
naval d framework advanced technology development atd,1,7,69,0,0.02,0.014,6.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval d framework applied research,59,5,45,0,0.28,1.111,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval d framework applied research technology readiness level,2,8,400,0,0.03,0.004,6.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval d framework applied research technology readiness level trl,1,9,400,0,0.02,0.003,6.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval defense university research,1,4,15,0,0.0,-1,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval dod,3,2,0,0,0.01,-1,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
naval dod u,1,3,3,0,0.0,-1,3.0,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,1
naval expeditionary,12,2,0,0,0.06,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
naval expeditionary disrupted,1,3,12,0,0.0,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval expeditionary warfighters,3,3,12,0,0.01,-1,9.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval explore,1,2,0,0,0.0,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
naval fleet force `sep` do,2,5,4,0,0.01,-1,3.6,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0,0,1
naval fleet/forces,1,2,0,0,0.0,-1,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval infrared,1,2,0,0,0.0,-1,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
naval installation .  t echnical effort,1,7,1,0,1.0,-1,4.71,0.571,0.0,0.0,0.143,0.0,0.286,0.0,0,0,2
naval joint eod,1,3,118,1,0.0,-1,4.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
naval mine countermeasure,2,3,9,0,0.01,-1,7.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval mine countermeasure (mc )`sep` e xpeditionary warfare `sep` u.,1,10,9,0,-1,-1,5.1,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0,0,2
naval mining,2,2,0,0,0.01,-1,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval mining `sep`  a nti-submarine warfare (as,1,8,2,0,-1,-1,4.5,0.625,0.0,0.0,0.125,0.0,0.25,0.0,0,0,2
naval national defense strategy,56,4,143,0,0.27,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval national defense strategy navy,33,5,143,0,0.16,-1,6.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval national defense strategy navy naval research,13,7,747,0,0.23,-1,6.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval national defense strategy navy naval research naval research enterprise,3,10,747,0,0.09,-1,6.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval national defense strategy navy naval research naval research enterprise nre,7,11,747,0,0.54,-1,6.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval national defense strategy navy naval research naval research enterprise nre naval,1,12,747,0,0.08,-1,6.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval naval,9,2,0,0,0.04,-1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3
naval naval naval,1,3,9,0,0.0,-1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval need,9,2,0,0,0.04,-1,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval need budget activity,1,4,32,0,0.0,0.156,5.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval oceanographic,1,2,0,0,0.0,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
naval oceanographic office,2,3,1,0,0.01,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
naval operation,1,2,0,0,0.0,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
naval operation (op nav),2,4,1,0,0.01,-1,5.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval platform electronic warfare,1,4,32,0,0.0,0.281,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval power defense university research instrumentation program,1,7,15,0,0.11,0.455,8.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval precision strike operation,15,4,1,0,0.07,-1,7.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval precision strike operation develop technology,1,6,15,0,0.0,-1,7.67,0.833,0.0,0.167,0.0,0.0,0.0,0.0,0,0,2
naval precision strike operation navy capability,1,6,15,0,0.0,-1,7.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval prototype,5,2,0,0,0.02,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
naval prototype inp,59,3,5,0,0.28,-1,5.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
naval prototype inp adv tec dev,1,6,109,0,0.0,0.028,4.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
naval prototype inp advanced technology,1,5,59,0,0.0,0.25,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval prototype inp applied re,1,5,59,0,0.0,1.5,5.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
naval r,25,2,0,0,0.12,-1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
naval r advanced technology development program,1,6,67,0,0.0,13.0,7.0,0.833,0.0,0.167,0.0,0.0,0.0,0.0,0,0,2
naval r d framework,7,4,45,0,0.03,0.356,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval r d framework program element,7,6,172,0,0.03,0.093,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
naval r d framework program element fund advanced technology development,1,10,172,0,0.14,0.194,6.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval r d framework program element fund applied research,1,9,172,0,0.14,0.111,5.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
naval r&d framework,16,3,0,0,0.08,-1,5.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval r&d laboratory,1,3,0,0,0.0,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
naval research,747,2,0,0,3.59,-1,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
naval research (on,49,3,747,0,0.07,-1,5.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research advisory committee,3,4,747,0,0.0,-1,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
naval research applied research,25,4,747,0,0.03,14.296,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research applied research advanced technology development investment,67,8,747,0,2.68,11.0,8.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research applied research advanced technology development investment deter conflict,31,10,747,0,0.46,38.9,8.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0,0,2
naval research applied research advanced technology development investment deter conflict called upon,46,12,747,0,0.69,36.045,7.5,0.833,0.0,0.167,0.0,0.0,0.0,0.0,0,0,2
naval research applied research advanced technology development investment deter conflict called upon come home,25,14,747,0,0.54,38.6,7.0,0.786,0.0,0.214,0.0,0.0,0.0,0.0,0,0,2
naval research applied research advanced technology development investment deter conflict called upon come home investment hedge,22,16,747,0,0.48,38.45,7.06,0.812,0.0,0.188,0.0,0.0,0.0,0.0,0,0,2
naval research applied research advanced technology development investment deter conflict called upon come home investment hedge providing solution,7,18,747,0,0.28,75.4,7.22,0.778,0.0,0.222,0.0,0.0,0.0,0.0,0,0,1
naval research applied research advanced technology development investment deter conflict called upon come home investment hedge providing solution commander today,41,20,747,0,1.86,9.381,7.2,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0,0,2
naval research applied research advanced technology development investment deter conflict called upon come home investment hedge providing solution commander today naval s,5,22,747,0,0.12,28.923,6.82,0.818,0.0,0.182,0.0,0.0,0.0,0.0,0,0,2
naval research applied research advanced technology development investment deter conflict called upon come home investment hedge providing solution commander today naval s t budget,23,24,747,0,0.56,15.4,6.54,0.833,0.0,0.167,0.0,0.0,0.0,0.0,0,0,2
naval research applied research advanced technology development investment deter conflict called upon come home investment hedge providing solution commander today naval s t budget mine countermeasure,1,26,747,0,0.04,41.556,6.73,0.846,0.0,0.154,0.0,0.0,0.0,0.0,0,0,1
naval research applied research advanced technology development investment deter conflict called upon come home investment hedge providing solution commander today naval s t budget national defense strategy,14,27,747,0,0.61,2.661,6.67,0.852,0.0,0.148,0.0,0.0,0.0,0.0,0,0,1
naval research applied research advanced technology development investment deter conflict called upon come home investment hedge providing solution commander today naval s t budget national defense strategy research priority,1,29,747,0,0.04,8.698,6.76,0.862,0.0,0.138,0.0,0.0,0.0,0.0,0,0,1
naval research breakthrough capability,1,4,747,0,0.0,124.667,8.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research demonstrates inps,66,4,747,0,0.09,5.568,7.25,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0,0,2
naval research demonstrates inps existing capability,2,6,747,0,0.0,74.9,7.83,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,2
naval research demonstrates inps existing capability acquisition program,1,8,747,0,0.02,2.855,8.12,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0,0,2
naval research demonstrates inps high-power joint electromagnetic,1,7,747,0,0.0,-1,8.43,0.857,0.0,0.143,0.0,0.0,0.0,0.0,0,0,2
naval research development establishment,2,4,747,0,0.0,-1,9.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research development framework,8,4,747,0,0.01,75.5,8.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research development framework research provide solution,1,7,747,0,0.0,-1,8.0,0.857,0.0,0.143,0.0,0.0,0.0,0.0,0,0,2
naval research enterprise,111,3,747,0,0.15,-1,7.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
naval research enterprise (nr,19,4,747,0,0.03,-1,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research enterprise concept investigation,1,5,747,0,0.0,374.0,8.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research enterprise establishing quality,1,5,747,0,0.0,374.0,8.4,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0,0,2
naval research enterprise headquarters marine corp,1,6,747,0,0.0,1.206,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research enterprise intern program,2,5,747,0,0.0,-1,7.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
naval research enterprise intern program (nr eip) summer program,2,9,747,0,1.0,-1,6.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research enterprise naval operation,5,5,747,0,0.01,376.0,7.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research enterprise naval operation headquarters marine corp,1,8,747,0,0.01,1.206,7.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research enterprise naval r,3,5,747,0,0.0,15.0,5.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research enterprise naval r d framework,11,7,747,0,0.01,8.422,5.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research enterprise naval r d framework conducting mine countermeasure,1,10,747,0,0.09,41.556,6.7,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0,0,2
naval research enterprise nre,51,4,747,0,0.07,-1,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research enterprise nre early technology readiness level,1,8,747,0,0.01,0.935,6.88,0.875,0.0,0.0,0.125,0.0,0.0,0.0,0,0,2
naval research enterprise nre naval,3,5,747,0,0.0,41.667,6.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research enterprise nre naval d framework,1,7,747,0,0.0,8.311,5.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research enterprise u.s. navy,1,5,747,0,0.0,1.113,6.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research global mission,10,4,747,0,0.01,189.25,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research global mission naval research enterprise,1,7,747,0,0.0,3.369,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research guide ongoing research,8,5,747,0,0.01,377.5,6.6,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0,0,2
naval research guide ongoing research u.s. navy,1,7,747,0,0.0,1.113,5.86,0.714,0.0,0.286,0.0,0.0,0.0,0.0,0,0,2
naval research investment portfolio,1,4,747,0,0.0,374.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research naval research,2,4,747,0,0.0,0.501,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research naval research enterprise,36,5,747,0,0.05,3.527,7.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research naval research enterprise naval r,4,7,747,0,0.01,15.02,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research naval research enterprise naval r d framework,5,9,747,0,0.14,8.356,5.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research naval research enterprise naval r d framework program element,4,11,747,0,0.8,2.183,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research naval research enterprise naval r d framework program element fund advanced technology development,1,15,747,0,0.25,5.582,6.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research naval research enterprise nre,7,6,747,0,0.01,7.392,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research naval research enterprise nre naval,1,7,747,0,0.0,41.556,6.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research navy program,1,4,747,0,0.0,124.667,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr,272,3,747,0,0.36,-1,5.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr department,13,4,747,0,0.02,126.667,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr department navy,10,5,747,0,0.01,1.194,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr department navy don,21,6,747,0,0.03,20.211,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr department navy don applied,7,7,747,0,0.01,53.857,5.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr department navy don applied advanced technology,44,9,747,0,2.1,4.163,6.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr department navy don applied advanced technology naval,1,10,747,0,0.02,9.122,6.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr department navy don naval research enterprise,1,9,747,0,0.05,3.369,6.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr foster,61,4,747,0,0.08,404.0,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr foster in-house laboratory independent research,1,8,747,0,0.0,374.0,7.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr foster in-house laboratory independent research program provides opportunity,1,11,747,0,1.0,28.769,7.73,0.909,0.0,0.091,0.0,0.0,0.0,0.0,0,0,2
naval research onr information technology,1,5,747,0,0.0,374.0,7.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr inps,21,4,747,0,0.03,18.286,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr inps department,3,5,747,0,0.0,25.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr inps department navy,1,6,747,0,0.0,1.18,5.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr larger,7,4,747,0,0.01,-1,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr larger innovative naval prototype,1,7,747,0,0.0,6.131,6.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr mantech,38,4,747,0,0.05,392.5,5.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr mantech technology,1,5,747,0,0.0,-1,6.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr naval research enterprise,1,6,747,0,0.0,3.369,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr technology department,1,5,747,1,0.0,374.0,7.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr u.s,13,4,747,0,0.02,380.0,4.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr u.s onr,3,5,747,0,0.0,-1,4.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research onr u.s onr department,1,6,747,0,0.0,124.667,5.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research paramount importance,1,4,747,0,0.0,124.667,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research portfolio includes effort,1,5,747,0,0.0,374.0,7.2,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0,0,2
naval research research portfolio,1,4,747,0,0.0,374.0,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval research technology department,1,4,747,0,0.0,374.0,8.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
naval s,13,2,0,0,0.06,-1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
